frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Dec 15, 2016 08:20:49.639374000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.639378000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.639380000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.639383000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.639386000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.639574000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.639756000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.728795000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.729044000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.729062000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.729392000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.729410000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.729535000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.824329000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.824572000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.824588000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.824594000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.824645000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.824751000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.825101000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.825113000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.825119000 +07,185.153.198.117,10.12.15.101,80,49208,,,
